id,name,url,parent_id
79," Bao Da - Ốp Lưng Điện Thoại Oppo (111444)
",https://tiki.vn/bao-da-op-lung-dien-thoai-oppo/c28580?src=c.1815.hamburger_menu_fly_out_banner,51.0
80," Bao Da - Ốp Lưng Điện Thoại Samsung (344676)
",https://tiki.vn/bao-da-op-lung-dien-thoai-samsung/c28576?src=c.1815.hamburger_menu_fly_out_banner,51.0
81," Bao Da - Ốp Lưng Điện Thoại Sony (31785)
",https://tiki.vn/bao-da-op-lung-dien-thoai-sony/c28592?src=c.1815.hamburger_menu_fly_out_banner,51.0
82," Bao Da - Ốp Lưng Điện Thoại Vivo (59879)
",https://tiki.vn/bao-da-op-lung-dien-thoai-vivo/c28588?src=c.1815.hamburger_menu_fly_out_banner,51.0
83," Bao Da - Ốp Lưng Điện Thoại Xiaomi (99235)
",https://tiki.vn/bao-da-op-lung-dien-thoai-xiaomi/c28578?src=c.1815.hamburger_menu_fly_out_banner,51.0
84," Bao Da - Ốp Lưng Điện Thoại iPhone (97333)
",https://tiki.vn/bao-da-op-lung-dien-thoai-iphone/c28574?src=c.1815.hamburger_menu_fly_out_banner,51.0
85," Bàn Phím Rời - Ốp Tích Hợp Bàn Phím (104)
",https://tiki.vn/ban-phim-roi-op-tich-hop-ban-phim/c28618?src=c.1815.hamburger_menu_fly_out_banner,52.0
86," Bút Cảm Ứng (42)
",https://tiki.vn/but-cam-ung/c28616?src=c.1815.hamburger_menu_fly_out_banner,52.0
87," Các Loại Cáp Khác (579)
",https://tiki.vn/cac-loai-cap-khac/c3805?src=c.1815.hamburger_menu_fly_out_banner,53.0
88," Dây Cáp Sạc Micro USB (768)
",https://tiki.vn/day-cap-sac-micro-usb/c5007?src=c.1815.hamburger_menu_fly_out_banner,53.0
89," Dây Cáp Sạc USB Type-C (748)
",https://tiki.vn/day-cap-sac-usb-type-c/c12294?src=c.1815.hamburger_menu_fly_out_banner,53.0
90," Dây Cáp Sạc iPhone, iPad (1485)
",https://tiki.vn/day-cap-sac-iphone-ipad/c5006?src=c.1815.hamburger_menu_fly_out_banner,53.0
91," Dây Cáp Sạc Đa Năng (547)
",https://tiki.vn/day-cap-sac-da-nang/c28458?src=c.1815.hamburger_menu_fly_out_banner,53.0
92," Dụng Cụ Sửa Chữa (49)
",https://tiki.vn/dung-cu-sua-chua/c28472?src=c.1815.hamburger_menu_fly_out_banner,55.0
93," Dụng Cụ Vệ Sinh (4)
",https://tiki.vn/dung-cu-ve-sinh/c28470?src=c.1815.hamburger_menu_fly_out_banner,55.0
94," Giá Đỡ - Chân Đế Gắn Ô Tô, Xe Máy (358)
",https://tiki.vn/gia-do-chan-de-gan-o-to-xe-may/c28482?src=c.1815.hamburger_menu_fly_out_banner,56.0
95," Giá Đỡ - Chân Đế Thường (697)
",https://tiki.vn/gia-do-chan-de-thuong/c28480?src=c.1815.hamburger_menu_fly_out_banner,56.0
96," Móc Dán Đỡ Điện Thoại (396)
",https://tiki.vn/moc-dan-do-dien-thoai/c28478?src=c.1815.hamburger_menu_fly_out_banner,56.0
97," Linh Kiện Thay Thế Khác (24)
",https://tiki.vn/linh-kien-thay-the-khac/c28468?src=c.1815.hamburger_menu_fly_out_banner,58.0
98," Màn Hình Thay Thế (10)
",https://tiki.vn/man-hinh-thay-the/c28462?src=c.1815.hamburger_menu_fly_out_banner,58.0
99," Pin Thay Thế (1774)
",https://tiki.vn/pin-thay-the/c28464?src=c.1815.hamburger_menu_fly_out_banner,58.0
100," Vỏ - Case Thay Thế (93)
",https://tiki.vn/vo-case-thay-the/c28466?src=c.1815.hamburger_menu_fly_out_banner,58.0
101," Miếng Dán Màn Hình Điện Thoại (5268)
",https://tiki.vn/mieng-dan-man-hinh-dien-thoai/c28484?src=c.1815.hamburger_menu_fly_out_banner,59.0
102," Miếng Dán Thiết Bị Di Động Khác (2231)
",https://tiki.vn/mieng-dan-thiet-bi-di-dong-khac/c28486?src=c.1815.hamburger_menu_fly_out_banner,59.0
103," Nút Bấm Chơi Game Điện Thoại (59)
",https://tiki.vn/nut-bam-choi-game-dien-thoai/c28626?src=c.1815.hamburger_menu_fly_out_banner,60.0
104," Phụ Kiện Chơi Game Điện Thoại Khác (6)
",https://tiki.vn/phu-kien-choi-game-dien-thoai-khac/c28630?src=c.1815.hamburger_menu_fly_out_banner,60.0
105," Tay Cầm Chơi Game Điện Thoại (60)
",https://tiki.vn/tay-cam-choi-game-dien-thoai/c28628?src=c.1815.hamburger_menu_fly_out_banner,60.0
106," Gậy Tự Sướng - Selfie (187)
",https://tiki.vn/gay-tu-suong-selfie/c2659?src=c.1815.hamburger_menu_fly_out_banner,61.0
107," Lens Cho Điện Thoại (22)
",https://tiki.vn/lens-cho-dien-thoai/c20212?src=c.1815.hamburger_menu_fly_out_banner,61.0
108," Đèn Flash Selfie - Flash Mini (28)
",https://tiki.vn/den-flash-selfie-flash-mini/c28622?src=c.1815.hamburger_menu_fly_out_banner,61.0
109," Pin Sạc Dự Phòng Di Động (1166)
",https://tiki.vn/pin-sac-du-phong-di-dong/c28454?src=c.1815.hamburger_menu_fly_out_banner,63.0
110," Pin Sạc Dự Phòng Ốp Lưng (8)
",https://tiki.vn/pin-sac-du-phong-op-lung/c28456?src=c.1815.hamburger_menu_fly_out_banner,63.0
111," SIM Data - SIM 3G / 4G (319)
",https://tiki.vn/sim-data-sim-3g-4g/c28452?src=c.1815.hamburger_menu_fly_out_banner,64.0
112," SIM số (55930)
",https://tiki.vn/sim-so/c28450?src=c.1815.hamburger_menu_fly_out_banner,64.0
113," Thẻ Nhớ Điện Thoại (299)
",https://tiki.vn/the-nho-dien-thoai/c1820?src=c.1815.hamburger_menu_fly_out_banner,65.0
114," USB OTG (72)
",https://tiki.vn/usb-otg/c2173?src=c.1815.hamburger_menu_fly_out_banner,65.0
115," Bàn Di Chuột - Miếng Lót Chuột (2143)
",https://tiki.vn/ban-di-chuot-mieng-lot-chuot/c1831?src=c.1815.hamburger_menu_fly_out_banner,45.0
116," Bút Trình Chiếu (65)
",https://tiki.vn/but-trinh-chieu/c28688?src=c.1815.hamburger_menu_fly_out_banner,45.0
124," Webcam Máy Tính (70)
",https://tiki.vn/webcam-may-tinh/c4880?src=c.1815.hamburger_menu_fly_out_banner,45.0
125," Bộ Chuyển Đổi Khác (155)
",https://tiki.vn/bo-chuyen-doi-khac/c28736?src=c.1815.hamburger_menu_fly_out_banner,117.0
126," Bộ Chuyển Đổi Tín Hiệu HDMI/VGA/DVI/DP (887)
",https://tiki.vn/bo-chuyen-doi-tin-hieu-hdmivgadvidp/c28738?src=c.1815.hamburger_menu_fly_out_banner,117.0
127," Cáp HDMI - Displayport (994)
",https://tiki.vn/cap-hdmi-displayport/c3804?src=c.1815.hamburger_menu_fly_out_banner,117.0
128," Cáp Song Song - Cáp Máy In - Cáp Serial (70)
",https://tiki.vn/cap-song-song-cap-may-in-cap-serial/c28740?src=c.1815.hamburger_menu_fly_out_banner,117.0
129," Dây Cáp SATA (25)
",https://tiki.vn/day-cap-sata/c28718?src=c.1815.hamburger_menu_fly_out_banner,117.0
130," Dây Cáp Thunderbolt (4)
",https://tiki.vn/day-cap-thunderbolt/c28720?src=c.1815.hamburger_menu_fly_out_banner,117.0
131," Dây Cáp Tín Hiệu Khác (124)
",https://tiki.vn/day-cap-tin-hieu-khac/c28726?src=c.1815.hamburger_menu_fly_out_banner,117.0
132," Dây Cáp USB (298)
",https://tiki.vn/day-cap-usb/c28722?src=c.1815.hamburger_menu_fly_out_banner,117.0
133," Dây Cáp VGA-DVI (313)
",https://tiki.vn/day-cap-vga-dvi/c28724?src=c.1815.hamburger_menu_fly_out_banner,117.0
134," Dây Nguồn (23)
",https://tiki.vn/day-nguon/c28716?src=c.1815.hamburger_menu_fly_out_banner,117.0
135," Hub Chuyển Đổi USB Type-C (331)
",https://tiki.vn/hub-chuyen-doi-usb-type-c/c4593?src=c.1815.hamburger_menu_fly_out_banner,117.0
136," Hub Chuyển Đổi USB-A (29)
",https://tiki.vn/hub-chuyen-doi-usb-a/c28734?src=c.1815.hamburger_menu_fly_out_banner,117.0
137," Hub USB (297)
",https://tiki.vn/hub-usb/c8519?src=c.1815.hamburger_menu_fly_out_banner,117.0
138," Đầu Đọc Thẻ Nhớ (91)
",https://tiki.vn/dau-doc-the-nho/c28732?src=c.1815.hamburger_menu_fly_out_banner,117.0
139," Bút Vẽ Đồ Họa Cảm Ứng (2)
",https://tiki.vn/but-ve-do-hoa-cam-ung/c28708?src=c.1815.hamburger_menu_fly_out_banner,118.0
